,real_dist,checked_dist,sample_size,chi_square,kolmogorov_smirnov,anderson_darling,sample
0,normal,normal,10,False,False,False,"[array([-0.57305564,  1.68295878, -0.16254861,  0.53775365, -2.14952801,
       -0.04932097, -0.68530363,  0.75750132, -1.69541952,  0.51776656])]"
1,normal,normal,10,True,True,True,"[array([-5.85289822e-02, -4.40165573e-02, -3.77651734e-01, -1.19628856e+00,
       -7.56950115e-06, -5.45278808e-01, -7.26530476e-01, -9.03870626e-02,
       -1.36379880e+00, -1.03726897e+00])]"
2,normal,normal,10,False,False,False,"[array([ 0.23931062, -0.06035973, -1.09687354,  0.0776205 ,  2.20142922,
        0.19153886,  0.93051568,  0.37616933, -1.22443521,  0.90198005])]"
3,normal,normal,10,False,False,False,"[array([ 1.27790965, -1.04664219, -0.39082003, -0.64376736,  0.99122226,
        1.72301163,  0.03272132, -0.57378049, -0.51259532,  0.54008488])]"
4,normal,normal,10,False,False,False,"[array([ 0.17684613,  0.8071722 ,  1.86556313, -0.99798418, -0.81359547,
       -0.7522817 , -0.08435232, -1.63435959, -1.59160251, -0.07162194])]"
5,normal,normal,10,False,False,False,"[array([ 0.95571081,  0.20881504, -0.02632329, -0.05378323,  0.11306355,
       -0.43166828,  0.85997773,  0.41324527,  0.11177293, -0.93964155])]"
6,normal,normal,10,False,False,False,"[array([-0.87263243, -1.57764747, -0.56207321,  0.47022243,  0.36806927,
        0.67605105, -0.26010155, -1.14345176,  0.7179481 ,  0.56547018])]"
7,normal,normal,10,False,False,False,"[array([-0.27628346,  1.00947749, -0.06622601,  0.55316729, -0.83435349,
        0.25096422,  0.36719732, -0.32445023,  1.50078279, -2.44959068])]"
8,normal,normal,10,False,False,False,"[array([-0.23817497, -0.15941497,  0.25746046,  1.61564368, -1.25879058,
       -1.32979667, -0.19288195, -0.7589238 , -1.37971055, -1.35068531])]"
9,normal,normal,10,False,False,False,"[array([-0.98522586,  0.91831468, -0.19039519,  1.35085429,  0.46594615,
       -2.25044229,  0.82139484, -1.70314007,  0.49590925, -0.94431499])]"
