dependency,correlation_type,correlation_value,p_value,reject_h0,hypothesis_result
linear_a0,pearson,-0.040399871293444134,0.2017861101864429,False,H₀ не отвергается - корреляция незначима (p = 0.2018 >= 0.05)
linear_a0,spearman,-0.06376473976473977,0.04380542031005419,True,"ВНИМАНИЕ: H₀ отвергается, но для Y=Z это может быть ложное обнаружение (p = 0.0438 < 0.05)"
linear_a0,kendall,-0.04382782782782783,0.0379583529123506,True,"ВНИМАНИЕ: H₀ отвергается, но для Y=Z это может быть ложное обнаружение (p = 0.0380 < 0.05)"
linear_a0.25,pearson,0.12239282503653741,0.00010438923667488005,True,H₀ отвергается - корреляция значима (p = 0.0001 < 0.05)
linear_a0.25,spearman,0.09090893490893491,0.004012761600054869,True,H₀ отвергается - корреляция значима (p = 0.0040 < 0.05)
linear_a0.25,kendall,0.06010810810810811,0.004424489118666578,True,H₀ отвергается - корреляция значима (p = 0.0044 < 0.05)
linear_a0.5,pearson,0.4109905556685065,4.8962009076224235e-42,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a0.5,spearman,0.37933248733248737,1.419583468001369e-35,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a0.5,kendall,0.25797797797797795,2.5663298492910824e-34,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a0.75,pearson,0.8201287356691749,3.1993057132877526e-244,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a0.75,spearman,0.8098047058047058,2.358125097329526e-233,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a0.75,kendall,0.6132012012012013,2.320838949377415e-185,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a1,pearson,1.0,0.0,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a1,spearman,1.0,0.0,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
linear_a1,kendall,1.0,0.0,True,H₀ отвергается - корреляция значима (p = 0.0000 < 0.05)
cubic,pearson,-0.02233270904908433,0.4805445704210256,False,H₀ не отвергается - корреляция незначима (p = 0.4805 >= 0.05)
cubic,spearman,-0.04995745395745397,0.1143811581436816,False,H₀ не отвергается - корреляция незначима (p = 0.1144 >= 0.05)
cubic,kendall,-0.034622622622622626,0.10112460485974119,False,H₀ не отвергается - корреляция незначима (p = 0.1011 >= 0.05)
quadratic,pearson,0.028204465565880712,0.3729478198073341,False,H₀ не отвергается - корреляция незначима (p = 0.3729 >= 0.05)
quadratic,spearman,-0.022122250122250123,0.48469107612132856,False,H₀ не отвергается - корреляция незначима (p = 0.4847 >= 0.05)
quadratic,kendall,-0.0193993993993994,0.35831185324952974,False,H₀ не отвергается - корреляция незначима (p = 0.3583 >= 0.05)
