block,level_A,value
1,1,20.74507122951685
1,2,22.792603548243225
1,3,26.97153280715104
1,4,31.284544784612038
2,1,21.648769937914995
2,2,24.648794564576228
2,3,30.368819223261088
2,4,32.151152093729365
3,1,23.295788421097573
3,2,27.813840065378947
3,3,29.304873460781305
3,4,32.30140536964461
4,1,26.36294340734905
4,2,26.130079633013302
4,3,29.41262325123045
4,4,34.15656870613854
5,1,26.480753319498366
5,2,31.471370998892912
5,3,32.63796388671818
5,4,34.881544447997065
6,1,32.19847315338233
6,2,32.6613355492702
6,3,36.10129230703188
6,4,36.86287772067981
7,1,31.183425913212226
7,2,35.1663838845648
7,3,36.273509633866546
7,4,41.56354702751851
8,1,33.09904196512179
8,2,36.562459375310084
8,3,39.097440081655904
8,4,45.778417276763406
